venue,latitude,longitude
あいづ,37.46225,139.92569444
いちご,32.07312778,131.49183889
いわスタ,39.64793056,141.13750833
えがおＳ,32.83689444,130.80014444
とうスタ,37.72329167,140.36128611
みらスタ,34.15447222,131.43741667
アイスタ,34.98470278,138.48138611
アシさと,34.04055556,132.95866667
エコパ,34.74333333,137.97055556
カシマ,35.99173611,140.64053333
カンセキ,36.51444444,139.8575
ギオンス,35.52790278,139.38603333
ゴースタ,36.59619444,136.65736111
サンアル,36.17970278,137.91716389
サンガＳ,35.01694444,135.58472222
ソユスタ,39.72162778,140.09571111
タピスタ,26.30851667,127.82518333
デンカＳ,37.88261389,139.05916944
トラスタ,32.83859722,130.03952778
ニッパツ,35.46915556,139.60374444
ニンスタ,33.76817778,132.79759444
ノエスタ,34.65670833,135.16896389
ハワスタ,37.01730556,140.86436111
パナスタ,34.80271111,135.5381
ピカスタ,34.26162778,133.78591389
フクアリ,35.57748611,140.12287222
プラスタ,40.59047222,141.45611111
ベススタ,33.58588889,130.46077778
ミクスタ,33.89144444,130.88886111
ヤジン,35.447725,133.30768611
ヤマハ,34.72521667,137.87500556
ユアスタ,38.31916667,140.88180556
ヨドコウ,34.61538333,135.51665556
レゾド,33.20088889,131.65838611
レモンＳ,35.34353889,139.34121944
ロートＦ,34.69850833,135.82919444
三協Ｆ柏,35.84848333,139.97517222
味スタ,35.66416667,139.52722222
国立,35.67805556,139.71472222
埼玉,35.90310833,139.71760278
富山,36.62505556,137.19569444
愛鷹,35.15593889,138.85363056
日産ス,35.51028056,139.60616389
札幌ド,43.01512778,141.40977222
栃木グ,36.55663056,139.98659167
正田スタ,36.41154167,139.05326111
浦和駒場,35.87151944,139.66593889
白波スタ,31.56483056,130.56018611
紀三井寺,34.16668056,135.19095556
花園,34.66891667,135.62625
藤枝サ,34.88146944,138.23276389
豊田ス,35.08452222,137.17094722
里山Ｓ,34.04055556,132.95866667
長良川,35.44131944,136.76607778
長野Ｕ,36.58035278,138.16755556
駅スタ,33.37172222,130.52005556
鳴門大塚,34.167855,134.617857
Ａｘｉｓ,35.45821389,134.22167778
Ｃスタ,34.68065833,133.91963611
Ｅピース,34.40166667,132.45388889
Ｇスタ,35.5925,139.43902778
ＪＩＴス,35.62228056,138.58969722
Ｋｓスタ,36.34533333,140.41206944
ＮＡＣＫ,35.91613056,139.63337778
ＮＤスタ,38.33608333,140.37713889
ＳＶ下関,33.96688889,130.93313889
Ｕ等々力,35.58553611,139.65269722